City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Yangi Marg`ilon,40.4272,71.7189,77.72,36,100.0,6.91,UZ,1659307925.0
Nome,64.5011,-165.4064,59.16,88,100.0,9.22,US,1659307954.0
Broken Hill,-31.95,141.4333,46.8,68,0.0,6.73,AU,1659307941.0
Buraidah,26.326,43.975,88.25,49,100.0,15.28,SA,1659308257.0
Togur,58.3631,82.8265,54.95,65,100.0,12.37,RU,1659308257.0
Baghdad,33.3406,44.4009,85.91,26,0.0,2.3,IQ,1659308198.0
Moramanga,-18.9333,48.2,52.86,97,67.0,1.1,MG,1659308258.0
Port Maria,18.3685,-76.8895,90.05,85,13.0,9.28,JM,1659308258.0
Boyolangu,-8.1181,111.8935,69.58,91,82.0,0.69,ID,1659308038.0
Bosaso,11.2842,49.1816,89.71,42,74.0,24.18,SO,1659308258.0
Arlit,18.7369,7.3853,96.62,23,27.0,13.24,NE,1659307916.0
Dikson,73.5069,80.5464,40.87,94,100.0,14.58,RU,1659307639.0
Lochmaben,55.1301,-3.4429,52.05,90,66.0,4.32,GB,1659308259.0
Santarém,-2.4431,-54.7083,80.73,89,40.0,0.0,BR,1659308259.0
Kushmurun,52.4503,64.6311,62.06,87,15.0,6.44,KZ,1659308260.0
Khuchni,41.9499,47.9485,67.84,72,87.0,3.74,RU,1659308260.0
Jūrmala,56.968,23.7704,60.98,88,100.0,5.75,LV,1659308246.0
Kunya,12.2233,8.5325,78.42,68,91.0,10.51,NG,1659308261.0
Chara,56.9064,118.2631,65.12,65,53.0,1.77,RU,1659308261.0
Tambo,-14.8,-73.9167,39.27,37,1.0,5.08,PE,1659308262.0
Zalegoshch',52.9008,36.8869,59.45,64,70.0,7.38,RU,1659308262.0
Kungurtug,50.5994,97.5228,53.56,87,34.0,1.66,RU,1659308262.0
Mossamedes,-15.1961,12.1522,57.51,82,12.0,11.3,AO,1659307983.0
Shiyan,32.6475,110.7781,75.97,77,0.0,0.16,CN,1659308263.0
Lufilufi,-13.8745,-171.5986,83.98,80,66.0,20.29,WS,1659308263.0
Venustiano Carranza,19.43,-99.0992,72.14,40,100.0,20.71,MX,1659308264.0
Penzance,50.1186,-5.5371,63.28,90,42.0,7.61,GB,1659308264.0
Maryville,35.7565,-83.9705,82.54,89,100.0,13.8,US,1659308043.0
Dongning,44.0622,131.1207,73.71,98,100.0,1.7,CN,1659308265.0
Kaitangata,-46.2817,169.8464,41.95,77,7.0,7.31,NZ,1659307928.0
São Filipe,14.8961,-24.4956,75.79,75,42.0,5.64,CV,1659307644.0
Teya,60.3778,92.6267,53.13,91,100.0,4.61,RU,1659308265.0
Turkmenabat,39.0733,63.5786,80.58,32,0.0,6.91,TM,1659308266.0
Olden,61.8364,6.8064,56.14,97,98.0,6.26,NO,1659308266.0
Amahai,-3.3333,128.9167,77.54,87,69.0,2.64,ID,1659308266.0
Kavieng,-2.5744,150.7967,83.55,73,94.0,13.6,PG,1659307964.0
Salaga,8.5508,-0.5188,74.12,93,100.0,5.08,GH,1659308267.0
Maceió,-9.6658,-35.7353,76.44,88,20.0,6.91,BR,1659308267.0
Sabang,5.8933,95.3214,82.09,75,100.0,14.85,ID,1659308268.0
Kieta,-6.2167,155.6333,83.21,75,21.0,5.84,PG,1659308268.0
Nyaunglebin,17.95,96.7333,76.86,91,100.0,3.33,MM,1659308268.0
Kaeo,-35.1,173.7833,60.33,76,18.0,5.39,NZ,1659307741.0
Vao,-22.6667,167.4833,69.28,77,100.0,26.22,NC,1659308269.0
Marawi,7.9986,124.2928,71.2,87,97.0,2.21,PH,1659308054.0
Zima,53.9202,102.0442,61.18,90,60.0,2.89,RU,1659308269.0
Kununurra,-15.7667,128.7333,57.18,77,96.0,0.0,AU,1659308270.0
Hemnesberget,66.2333,13.6333,57.58,89,100.0,1.79,NO,1659308270.0
Quatre Cocos,-20.2078,57.7625,70.09,71,16.0,13.67,MU,1659308271.0
Lata,40.1629,-8.3327,69.69,61,0.0,2.3,PT,1659308271.0
Ailigandí,9.2333,-78.0167,80.98,86,100.0,6.98,PA,1659308272.0
Jacareacanga,-6.2222,-57.7528,81.66,58,92.0,2.64,BR,1659308272.0
Kavaratti,10.5669,72.642,80.44,80,100.0,23.89,IN,1659308272.0
Elizabeth City,36.2946,-76.2511,77.05,96,100.0,11.43,US,1659308246.0
Weihe,32.9952,105.3247,67.6,98,97.0,2.37,CN,1659308273.0
Ürümqi,43.801,87.6005,70.75,56,75.0,4.47,CN,1659308273.0
San Miguel de Tucumán,-26.8241,-65.2226,62.6,48,1.0,1.14,AR,1659308201.0
Bandarbeyla,9.4942,50.8122,76.05,80,58.0,28.32,SO,1659308274.0
Portsmouth,50.799,-1.0913,68.97,93,86.0,4.0,GB,1659308192.0
Nanchang,28.6833,115.8833,83.71,65,0.0,2.19,CN,1659308274.0
Zafra,38.4167,-6.4167,81.59,29,0.0,6.93,ES,1659308275.0
Kristinestad,62.2743,21.376,62.17,75,99.0,10.76,FI,1659308275.0
Patan,27.6667,85.3333,70.18,94,75.0,0.0,NP,1659308276.0
Faya,18.3851,42.4509,66.31,58,77.0,7.74,SA,1659307966.0
Adrar,20.5022,-10.0711,94.84,31,3.0,11.05,MR,1659308276.0
Belfast,54.5833,-5.9333,55.38,72,40.0,3.44,GB,1659308276.0
Lavrentiya,65.5833,-171.0,48.38,69,52.0,3.42,RU,1659308015.0
Redmond,47.674,-122.1215,99.07,37,0.0,4.0,US,1659308260.0
Laas,46.6166,10.7002,67.08,88,3.0,4.65,IT,1659308017.0
Rafrāf,37.1904,10.1837,75.52,68,1.0,8.52,TN,1659308277.0
Cairns,-16.9167,145.7667,73.06,83,100.0,10.36,AU,1659308278.0
Cuenca,-2.8833,-78.9833,66.33,48,75.0,4.61,EC,1659308278.0
Wanning,18.8003,110.3967,80.78,84,5.0,4.0,CN,1659308278.0
Flin Flon,54.7682,-101.865,69.64,52,75.0,14.97,CA,1659307968.0
Rodrigues Alves,-7.738,-72.6509,84.4,66,89.0,2.93,BR,1659308279.0
Aguascalientes,21.8833,-102.3,74.71,41,67.0,5.82,MX,1659308150.0
Richards Bay,-28.783,32.0377,62.01,73,100.0,9.8,ZA,1659308279.0
Boralday,43.3578,76.8594,71.46,46,75.0,4.47,KZ,1659308280.0
Savinskiy,62.9342,40.1361,50.38,94,25.0,4.41,RU,1659308280.0
Yulara,-25.2406,130.9889,49.86,42,39.0,9.42,AU,1659307827.0
Robertsport,6.7533,-11.3686,77.36,80,100.0,11.12,LR,1659307988.0
Hobyo,5.3505,48.5268,75.36,86,0.0,23.98,SO,1659308281.0
San Lucas,16.6,-92.7167,83.16,80,84.0,2.91,MX,1659308281.0
Franklin,39.9667,-83.0166,79.93,62,0.0,5.75,US,1659308282.0
Wangaratta,-36.3667,146.3333,47.46,91,100.0,5.75,AU,1659308282.0
Voh,-20.9667,164.7,74.25,63,21.0,5.44,NC,1659308282.0
Qeshm,26.9581,56.2719,89.47,83,100.0,8.59,IR,1659308283.0
Le Mans,48.0,0.2,71.53,64,0.0,3.44,FR,1659308283.0
Plavsk,53.7094,37.2919,59.02,69,81.0,5.93,RU,1659308284.0
Amuntai,-2.4177,115.2494,72.03,94,100.0,1.52,ID,1659308284.0
Warmbad,-28.45,18.7333,48.85,28,0.0,9.44,NA,1659308285.0
Kawalu,-7.3817,108.2082,68.11,95,76.0,2.84,ID,1659307973.0
Kumul,42.8,93.45,81.05,29,50.0,6.44,CN,1659308004.0
Mbanza-Ngungu,-5.25,14.8667,70.86,59,12.0,7.23,CD,1659308285.0
Bilibino,68.0546,166.4372,61.95,47,79.0,5.26,RU,1659308286.0
Agadez,19.75,10.25,89.56,31,46.0,12.71,NE,1659308286.0
Syas'stroy,60.1367,32.5691,56.21,82,99.0,6.06,RU,1659308286.0
Katherine,-14.4667,132.2667,66.52,63,80.0,5.75,AU,1659308280.0
Gambēla,8.25,34.5833,69.39,94,100.0,1.66,ET,1659308287.0
Mirny,62.5353,113.9611,64.24,82,60.0,7.0,RU,1659308287.0
Pucallpa,-8.3791,-74.5539,87.84,58,20.0,3.44,PE,1659308288.0
Adwa,14.1646,38.8955,62.96,87,85.0,3.47,ET,1659308288.0
Grigiškės,54.6833,25.0833,65.5,95,75.0,8.05,LT,1659308288.0
Kingaroy,-26.5333,151.8333,51.84,100,75.0,5.75,AU,1659308289.0
Honiara,-9.4333,159.95,85.89,66,14.0,9.95,SB,1659308289.0
Wamba,8.9333,8.6,70.38,96,65.0,1.45,NG,1659308289.0
Durango,24.8333,-104.8333,79.45,29,79.0,11.03,MX,1659308290.0
Sinop Province,41.7711,34.8709,66.02,81,0.0,3.91,TR,1659308290.0
Luanda,-8.8368,13.2343,68.0,94,20.0,9.22,AO,1659308258.0
Haimen,23.1935,116.6142,76.89,84,55.0,8.72,CN,1659308291.0
Lincoln,40.8,-96.667,93.11,49,0.0,13.8,US,1659307952.0
Mount Isa,-20.7333,139.5,64.17,39,0.0,4.61,AU,1659308041.0
Tecpan,14.7623,-90.9947,62.89,91,77.0,4.52,GT,1659308291.0
Aktas,49.7789,72.9608,60.55,66,100.0,5.61,KZ,1659308292.0
Sarakhs,36.5449,61.1577,81.23,26,0.0,4.7,IR,1659308292.0
Neryungri,56.6709,124.6491,62.33,90,100.0,2.73,RU,1659308292.0
Ilulissat,69.2167,-51.1,43.36,74,40.0,5.82,GL,1659308053.0
Manono,-7.3,27.4167,77.94,47,22.0,3.18,CD,1659308293.0
Tigil',57.8,158.6667,64.51,50,37.0,7.58,RU,1659308293.0
Sfântu Gheorghe,45.8667,25.7833,60.93,92,10.0,3.31,RO,1659307944.0
São João da Barra,-21.6403,-41.0511,67.42,71,2.0,6.87,BR,1659308067.0
Hofn,64.2539,-15.2082,52.41,62,82.0,10.38,IS,1659307920.0
Nabire,-3.3667,135.4833,76.23,91,98.0,2.37,ID,1659308294.0
Bubaque,11.2833,-15.8333,79.52,78,97.0,16.02,GW,1659308294.0
Lethem,3.3803,-59.7968,76.78,87,55.0,5.03,GY,1659308295.0
North Platte,41.1239,-100.7654,94.37,35,50.0,8.01,US,1659308295.0
Morón,-34.6534,-58.6198,58.89,79,2.0,3.96,AR,1659308221.0
Ust'-Kut,56.7938,105.7672,63.19,97,88.0,2.24,RU,1659308296.0
Marzuq,14.4,46.4667,78.73,58,2.0,15.08,YE,1659308296.0
Kingman,35.1894,-114.053,92.68,30,98.0,3.0,US,1659308297.0
Połczyn-Zdrój,53.7642,16.0957,60.3,75,31.0,8.41,PL,1659308297.0
Leshukonskoye,64.8989,45.7622,57.92,98,99.0,2.73,RU,1659308297.0
Alto Araguaia,-17.3147,-53.2153,70.79,32,0.0,1.92,BR,1659308298.0
Mana,5.6592,-53.7767,78.24,83,36.0,6.29,GF,1659308298.0
Fare,-16.7,-151.0167,78.55,71,22.0,25.86,PF,1659307771.0
Schwelm,51.2833,7.2833,68.13,87,95.0,5.28,DE,1659308299.0
Norsup,-16.0667,167.3833,80.69,75,33.0,10.98,VU,1659308299.0
Viedma,-40.8135,-62.9967,45.97,67,78.0,7.63,AR,1659308299.0
Glens Falls,43.3095,-73.644,80.51,64,100.0,1.99,US,1659308135.0
Tual,-5.6667,132.75,79.14,85,46.0,18.66,ID,1659308300.0
Arco,45.9177,10.8867,76.95,65,24.0,3.47,IT,1659308300.0
Kandrian,-6.2167,149.55,82.6,76,75.0,7.92,PG,1659308301.0
Taoudenni,22.6783,-3.9836,96.78,27,74.0,13.13,ML,1659308037.0
Ribeira Grande,38.5167,-28.7,74.12,73,16.0,2.91,PT,1659307930.0
Saskylakh,71.9167,114.0833,44.62,82,99.0,11.3,RU,1659307921.0
Horta,38.5333,-28.6333,73.17,75,35.0,2.62,PT,1659308082.0
Turukhansk,65.8167,87.9833,46.4,76,99.0,14.99,RU,1659308302.0
Coquimbo,-29.9533,-71.3436,56.93,82,40.0,9.22,CL,1659308302.0
Curup,-3.4667,102.5333,67.66,98,99.0,3.02,ID,1659308302.0
Koungou,-12.7336,45.2042,71.31,94,0.0,4.61,YT,1659308303.0
Hibbing,47.4272,-92.9377,74.39,13,88.0,7.52,US,1659308303.0
Coahuayana Viejo,18.7333,-103.6833,88.2,60,64.0,5.88,MX,1659308006.0
Camacupa,-12.0167,17.4833,60.69,33,1.0,2.17,AO,1659308304.0
Palmer,42.1584,-72.3287,81.86,63,88.0,4.14,US,1659308241.0
Znamenskoye,57.1281,73.8282,55.72,89,61.0,6.8,RU,1659308086.0
Ariquemes,-9.9133,-63.0408,80.91,40,1.0,0.45,BR,1659308305.0
Pervomayskoye,43.919,46.7102,71.44,81,0.0,7.27,RU,1659308305.0
Rosetta,31.4044,30.4164,78.69,75,0.0,13.94,EG,1659308305.0
Kholodnyy,62.7167,147.95,56.01,80,100.0,7.36,RU,1659308306.0
Lunglei,22.8833,92.7333,67.37,98,92.0,1.74,IN,1659308306.0
Kulhudhuffushi,6.6221,73.07,77.0,91,100.0,34.43,MV,1659308307.0
Gangāpur,26.4833,76.7167,81.57,78,98.0,5.77,IN,1659308307.0
Havre-St-Pierre,50.2334,-63.5986,62.96,82,0.0,14.97,CA,1659307952.0
Muskogee,35.5834,-95.3336,89.35,74,100.0,5.17,US,1659308307.0
Campbell River,50.0163,-125.2446,84.58,48,40.0,6.91,CA,1659308308.0
Maragogi,-9.0122,-35.2225,74.7,85,30.0,8.97,BR,1659308308.0
Burns Lake,54.2331,-125.7533,80.02,26,1.0,9.51,CA,1659308309.0
Kassala,15.451,36.4,76.57,82,89.0,19.33,SD,1659308195.0
Tucumcari,35.1717,-103.725,97.36,19,41.0,9.71,US,1659308309.0
Piaçabuçu,-10.4056,-36.4344,73.63,87,6.0,9.44,BR,1659308309.0
Mayumba,-3.432,10.6554,70.09,95,17.0,6.98,GA,1659308310.0
Kinablangan,7.6947,126.5503,78.1,79,100.0,2.15,PH,1659308310.0
Necochea,-38.5473,-58.7368,51.64,79,76.0,7.45,AR,1659308311.0
Independence,39.0911,-94.4155,91.33,65,15.0,5.01,US,1659308311.0
Vila Franca do Campo,37.7167,-25.4333,72.01,82,71.0,4.07,PT,1659308311.0
Ahipara,-35.1667,173.1667,57.7,59,12.0,7.61,NZ,1659308312.0
Lobito,-12.3481,13.5456,65.68,86,4.0,6.42,AO,1659308312.0
Sasykoli,47.5515,46.9968,76.87,53,5.0,5.39,RU,1659308312.0
Moree,-29.4667,149.85,53.6,86,100.0,8.84,AU,1659308313.0
Santa Cruz de la Sierra,-17.8,-63.1667,78.85,53,20.0,13.8,BO,1659308313.0
Ixtapa,20.7,-105.2,87.22,73,99.0,5.01,MX,1659307967.0
Marsh Harbour,26.5412,-77.0636,83.73,69,55.0,12.26,BS,1659308314.0
Vlădeşti,45.1167,24.3,65.01,72,86.0,3.71,RO,1659308314.0
Henties Bay,-22.116,14.2845,53.53,76,72.0,2.51,NA,1659308315.0
Ust-Maya,60.4167,134.5333,76.89,58,39.0,9.4,RU,1659308002.0
Eureka,40.8021,-124.1637,79.66,79,97.0,4.0,US,1659308315.0
Muros,42.7762,-9.0603,72.09,69,1.0,11.3,ES,1659307999.0
Hasaki,35.7333,140.8333,86.4,75,98.0,1.07,JP,1659307917.0
Lawang,-7.8353,112.6947,66.97,78,57.0,1.97,ID,1659308316.0
Cabo San Lucas,22.8909,-109.9124,92.05,74,93.0,4.0,MX,1659307868.0
Darłowo,54.421,16.4107,58.71,71,36.0,9.48,PL,1659308316.0
Novo Aripuanã,-5.1206,-60.3797,79.09,69,49.0,2.55,BR,1659308317.0
Avera,33.194,-82.5271,94.51,25,3.0,9.57,US,1659307943.0
Mpika,-11.8343,31.4529,56.55,52,0.0,6.13,ZM,1659308317.0
Padang,-0.9492,100.3543,77.41,86,100.0,3.29,ID,1659307913.0
Nikolayevka,53.1257,47.2041,59.11,81,9.0,5.95,RU,1659308318.0
Hope,33.6671,-93.5916,93.07,45,77.0,7.02,US,1659308318.0
Klyuchi,52.2667,79.1667,62.46,90,88.0,4.9,RU,1659308206.0
Half Moon Bay,37.4636,-122.4286,79.41,77,40.0,9.22,US,1659308319.0
Labuhan,-6.8844,112.2051,73.99,87,98.0,5.46,ID,1659308319.0
Burnie,-41.0667,145.9167,45.95,90,86.0,12.75,AU,1659308319.0
Teahupoo,-17.8333,-149.2667,78.76,69,62.0,23.24,PF,1659308320.0
Barão de Melgaço,-16.1944,-55.9675,78.31,26,0.0,2.44,BR,1659308320.0
Sarab,38.6066,44.9883,75.56,48,44.0,1.36,IR,1659308321.0
Kiryat Gat,31.61,34.7642,76.41,73,3.0,0.6,IL,1659308040.0
Rio Claro,-22.4114,-47.5614,63.61,48,0.0,1.97,BR,1659308321.0
Mildura,-34.2,142.15,43.07,93,0.0,11.03,AU,1659308322.0
Tshikapa,-6.4167,20.8,76.14,32,1.0,1.34,CD,1659308322.0
Victor Harbor,-35.5667,138.6167,49.68,84,8.0,16.33,AU,1659308323.0
Saint-Joseph,-21.3667,55.6167,65.21,79,36.0,11.03,RE,1659308323.0
Toora-Khem,52.4675,96.11,56.48,94,53.0,0.69,RU,1659308323.0
Acarí,-15.4311,-74.6158,63.57,74,13.0,4.65,PE,1659308324.0
Coyhaique,-45.5752,-72.0662,39.15,60,0.0,5.75,CL,1659308324.0
Meulaboh,4.1363,96.1285,76.3,88,96.0,4.92,ID,1659308013.0
Lima,-12.0432,-77.0282,60.91,80,100.0,10.36,PE,1659308227.0
Teguise,29.0605,-13.564,70.02,83,40.0,14.97,ES,1659308088.0
Gazojak,41.1875,61.4036,80.4,30,93.0,6.87,TM,1659308325.0
Huarmey,-10.0681,-78.1522,64.33,79,12.0,9.28,PE,1659307989.0
Saint-Augustin,51.226,-58.6502,71.35,56,85.0,9.17,CA,1659308036.0
Zile,40.3031,35.8864,63.1,87,0.0,2.59,TR,1659308326.0
Danville,36.586,-79.395,84.85,78,75.0,3.44,US,1659308326.0
Erzin,36.9559,36.2,74.35,86,5.0,1.74,TR,1659308326.0
Kérouané,9.2667,-9.0167,69.21,96,100.0,2.55,GN,1659308327.0
Tynda,55.1667,124.7167,63.48,95,100.0,2.35,RU,1659308327.0
Dongsheng,39.8161,109.9776,70.86,63,23.0,12.71,CN,1659308328.0
Yerbogachën,61.2767,108.0108,66.67,80,17.0,0.49,RU,1659307911.0
Gamba,-2.65,10.0,71.11,95,30.0,6.64,GA,1659308328.0
Antalaha,-14.9003,50.2788,66.54,92,34.0,5.73,MG,1659308328.0
Hoquiam,46.9809,-123.8893,90.84,88,26.0,9.66,US,1659308329.0
Montepuez,-13.1256,38.9997,62.55,80,52.0,4.61,MZ,1659308329.0
Grand-Santi,4.25,-54.3833,73.38,98,86.0,2.62,GF,1659308330.0
Cravo Norte,6.3017,-70.2041,74.55,93,93.0,4.59,CO,1659308330.0
Am Timan,11.0297,20.2827,71.91,94,100.0,5.37,TD,1659308026.0
Gigmoto,13.7796,124.39,82.09,82,100.0,6.62,PH,1659308156.0
Berndorf,47.9457,16.1097,70.88,74,85.0,5.41,AT,1659308331.0
Masuda,34.6667,131.85,84.47,68,88.0,10.09,JP,1659308331.0
Pāndhurnā,21.6,78.5167,75.38,88,93.0,6.08,IN,1659308331.0
Zalţan,32.947,11.8665,78.85,76,0.0,1.66,LY,1659308332.0
Leirvik,59.7798,5.5005,56.62,77,1.0,14.9,NO,1659308332.0
Fort Abbas,29.1925,72.8536,86.88,69,94.0,12.12,PK,1659308333.0
Alcúdia,39.8532,3.1214,81.25,57,1.0,3.56,ES,1659308333.0
Aberfeldy,56.62,-3.8645,54.68,94,48.0,1.21,GB,1659308333.0
Pringsewu,-5.3582,104.9744,72.32,98,61.0,0.4,ID,1659308334.0
Krasnaya Gora,52.9995,31.6023,61.36,77,100.0,7.94,RU,1659308334.0
Manaus,-3.1019,-60.025,84.7,70,40.0,3.44,BR,1659308042.0
Sorong,-0.8833,131.25,78.06,86,80.0,4.59,ID,1659308335.0
Aswān,24.0934,32.907,90.7,18,0.0,4.61,EG,1659308335.0
Salimbalan,8.2742,124.7219,67.71,86,100.0,3.24,PH,1659308335.0
Alenquer,-1.9417,-54.7383,77.63,85,76.0,2.89,BR,1659308252.0
Tilichiki,60.4667,166.1,54.61,65,78.0,4.38,RU,1659308080.0
Kibre Mengist,5.8833,38.9833,59.0,92,100.0,2.26,ET,1659308336.0
Caucayá,-0.1934,-74.7819,75.49,90,75.0,2.28,CO,1659308336.0
Namatanai,-3.6667,152.4333,83.23,72,94.0,8.5,PG,1659308025.0
Bentiu,9.2333,29.8333,71.74,90,100.0,3.65,SS,1659308337.0
Touros,-5.1989,-35.4608,76.08,84,40.0,13.6,BR,1659307653.0
Chern',53.4523,36.9145,59.0,67,46.0,7.36,RU,1659308337.0
Chopinzinho,-25.8558,-52.5233,53.65,79,0.0,2.98,BR,1659308338.0
Kaffrine,14.1059,-15.5508,73.8,94,100.0,10.76,SN,1659308338.0
Aitape,-3.1374,142.3475,82.15,75,100.0,5.19,PG,1659308338.0
Hambantota,6.1241,81.1185,78.53,86,100.0,17.6,LK,1659307945.0
Governador Valadares,-18.8511,-41.9494,70.93,71,56.0,2.28,BR,1659308339.0
Gorontalo,0.5412,123.0595,75.94,94,99.0,1.83,ID,1659308339.0
Okakarara,-20.5833,17.4333,49.82,29,16.0,6.22,NA,1659308340.0
San Quintín,30.4833,-115.95,76.17,60,26.0,10.27,MX,1659307925.0
Pangnirtung,66.1451,-65.7125,49.44,79,99.0,1.43,CA,1659308013.0
Sai Buri,6.7013,101.6168,77.5,88,100.0,3.53,TH,1659308340.0
Hanchuan,30.65,113.7667,78.91,80,1.0,2.68,CN,1659308341.0
Pontes e Lacerda,-15.2261,-59.3353,76.75,31,1.0,1.12,BR,1659308039.0
Beira,-19.8436,34.8389,66.29,94,0.0,5.75,MZ,1659308341.0
Härnösand,62.6323,17.9379,64.0,78,98.0,6.6,SE,1659308252.0
Harper,4.375,-7.7169,75.18,81,100.0,13.42,LR,1659308077.0
Nakhon Si Thammarat,8.25,100.0,77.43,90,100.0,6.46,TH,1659308342.0
Baiyin,36.5583,104.2081,71.65,67,100.0,3.06,CN,1659308342.0
Sistranda,63.7256,8.834,53.56,79,100.0,5.77,NO,1659308343.0
Arona,28.0996,-16.681,73.69,78,0.0,10.36,ES,1659308343.0
Ostrovnoy,68.0531,39.5131,56.1,79,87.0,5.35,RU,1659308043.0
Topolog,44.8833,28.3667,63.82,91,32.0,1.74,RO,1659308344.0
Zelenoborsk,61.4669,64.0333,52.29,69,100.0,5.88,RU,1659308344.0
Urucará,-2.5364,-57.76,75.31,86,56.0,3.09,BR,1659308344.0
Moorhead,46.8739,-96.7676,76.98,80,75.0,17.27,US,1659308053.0
Kushiro,42.975,144.3747,67.15,82,75.0,5.75,JP,1659308345.0
Ostrołęka,53.0862,21.5757,59.94,98,100.0,7.81,PL,1659308345.0
Felanitx,39.4696,3.1483,80.96,56,0.0,2.86,ES,1659308346.0
